Customer: 82, Date: 2014-09-15
Customer: 24, Date: 2014-03-26
Customer: 97, Date: 2013-05-03
Customer: 43, Date: 2014-01-12
Customer: 88, Date: 2013-01-27
Customer: 1, Date: 2013-10-18
Customer: 80, Date: 2013-10-26
Customer: 50, Date: 2014-05-25
Customer: 9, Date: 2013-12-21
Customer: 7, Date: 2013-07-27
Customer: 21, Date: 2012-02-16
Customer: 63, Date: 2012-11-20
Customer: 65, Date: 2012-08-05
Customer: 41, Date: 2013-08-28
Customer: 39, Date: 2012-10-25
Customer: 50, Date: 2012-01-12
Customer: 19, Date: 2014-10-07
Customer: 15, Date: 2014-02-06
Customer: 23, Date: 2012-07-17
