Customer: 31, Date: 2014-01-09
Customer: 50, Date: 2013-12-03
Customer: 94, Date: 2012-09-24
Customer: 95, Date: 2014-06-28
Customer: 88, Date: 2013-10-07
Customer: 75, Date: 2012-05-14
Customer: 2, Date: 2014-04-14
Customer: 56, Date: 2012-07-12
Customer: 57, Date: 2011-11-10
Customer: 41, Date: 2012-06-02
Customer: 16, Date: 2012-06-18
Customer: 45, Date: 2014-06-25
Customer: 12, Date: 2012-12-04
Customer: 68, Date: 2012-08-17
Customer: 6, Date: 2014-08-18
Customer: 28, Date: 2014-01-21
Customer: 97, Date: 2012-10-22
Customer: 93, Date: 2012-11-13
